19:39:58  [main] 	Initializing Control Panel
19:39:58  [main] 	Windows Version:  Enterprise  64-bit
19:39:58  [main] 	XAMPP Version: 7.4.6
19:39:58  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
19:39:58  [main] 	You are not running with administrator rights! This will work for
19:39:58  [main] 	most application stuff but whenever you do something with services
19:39:58  [main] 	there will be a security dialogue or things will break! So think 
19:39:58  [main] 	about running this application with administrator rights!
19:39:58  [main] 	XAMPP Installation Directory: "c:\xampp\"
19:39:58  [main] 	Checking for prerequisites
19:39:58  [main] 	All prerequisites found
19:39:58  [main] 	Initializing Modules
19:39:58  [main] 	Starting Check-Timer
19:39:58  [main] 	Control Panel Ready
19:40:03  [mysql] 	Attempting to start MySQL service...
19:40:08  [mysql] 	Status change detected: running
19:40:10  [Apache] 	Attempting to start Apache app...
19:40:10  [Apache] 	Status change detected: running
19:40:35  [mysql] 	Attempting to stop MySQL service...
19:40:39  [Apache] 	Attempting to stop Apache (PID: 16460)
19:40:39  [Apache] 	Attempting to stop Apache (PID: 18212)
19:40:39  [Apache] 	Status change detected: stopped
19:40:40  [mysql] 	Status change detected: stopped
19:58:20  [Apache] 	Attempting to start Apache app...
19:58:20  [Apache] 	Status change detected: running
19:58:21  [mysql] 	Attempting to start MySQL service...
19:58:34  [mysql] 	Status change detected: running
20:28:17  [Apache] 	Attempting to stop Apache (PID: 13884)
20:28:17  [Apache] 	Attempting to stop Apache (PID: 12988)
20:28:17  [Apache] 	Status change detected: stopped
20:28:18  [mysql] 	Attempting to stop MySQL service...
20:28:23  [mysql] 	Status change detected: stopped
21:38:33  [Apache] 	Status change detected: running
21:38:38  [mysql] 	Status change detected: running
21:59:11  [Apache] 	Status change detected: stopped
21:59:12  [mysql] 	Status change detected: stopped
21:59:18  [mysql] 	Status change detected: running
21:59:18  [Apache] 	Status change detected: running
18:13:13  [Apache] 	Status change detected: stopped
18:13:18  [mysql] 	Status change detected: stopped
21:55:28  [main] 	Deinitializing Modules
21:55:28  [main] 	Deinitializing Control Panel

